Iteration: 202, total timesteps: 81400, total time: 675.1, FPS: 120.6, mean reward: 3.2, min/max reward: -36.7/61.6
Iteration: 203, total timesteps: 81800, total time: 678.3, FPS: 120.6, mean reward: 3.3, min/max reward: -36.7/61.6
Iteration: 204, total timesteps: 82200, total time: 681.8, FPS: 120.6, mean reward: 3.8, min/max reward: -36.7/61.6
Iteration: 205, total timesteps: 82600, total time: 687.2, FPS: 120.2, mean reward: 5.9, min/max reward: -31.1/61.6
Iteration: 206, total timesteps: 83000, total time: 688.9, FPS: 120.5, mean reward: 5.9, min/max reward: -31.1/61.6
Iteration: 207, total timesteps: 83400, total time: 692.1, FPS: 120.5, mean reward: 7.2, min/max reward: -31.4/61.6
Iteration: 208, total timesteps: 83800, total time: 695.4, FPS: 120.5, mean reward: 5.9, min/max reward: -31.4/62.9
Iteration: 209, total timesteps: 84200, total time: 698.7, FPS: 120.5, mean reward: 5.2, min/max reward: -31.4/62.9
Iteration: 210, total timesteps: 84600, total time: 702.0, FPS: 120.5, mean reward: 5.6, min/max reward: -31.4/62.9
Iteration: 211, total timesteps: 85000, total time: 705.4, FPS: 120.5, mean reward: 5.5, min/max reward: -31.4/62.9
Iteration: 212, total timesteps: 85400, total time: 707.4, FPS: 120.7, mean reward: 5.5, min/max reward: -31.4/62.9
Iteration: 213, total timesteps: 85800, total time: 711.1, FPS: 120.7, mean reward: 6.2, min/max reward: -45.0/62.9
Iteration: 214, total timesteps: 86200, total time: 714.8, FPS: 120.6, mean reward: 5.8, min/max reward: -45.0/62.9
Iteration: 215, total timesteps: 86600, total time: 718.6, FPS: 120.5, mean reward: 5.0, min/max reward: -45.0/62.9
Iteration: 216, total timesteps: 87000, total time: 722.4, FPS: 120.4, mean reward: 4.4, min/max reward: -45.0/62.9
Iteration: 217, total timesteps: 87400, total time: 726.2, FPS: 120.4, mean reward: 2.8, min/max reward: -52.7/62.9
Iteration: 218, total timesteps: 87800, total time: 728.0, FPS: 120.6, mean reward: 2.8, min/max reward: -52.7/62.9
Iteration: 219, total timesteps: 88200, total time: 731.1, FPS: 120.6, mean reward: 3.0, min/max reward: -52.7/62.9
Iteration: 220, total timesteps: 88600, total time: 734.3, FPS: 120.7, mean reward: 0.7, min/max reward: -52.7/62.9
Iteration: 221, total timesteps: 89000, total time: 737.5, FPS: 120.7, mean reward: 0.7, min/max reward: -52.7/62.9
Iteration: 222, total timesteps: 89400, total time: 740.7, FPS: 120.7, mean reward: 2.0, min/max reward: -52.7/62.9
Iteration: 223, total timesteps: 89800, total time: 744.0, FPS: 120.7, mean reward: 0.3, min/max reward: -52.7/61.1
Iteration: 224, total timesteps: 90200, total time: 745.9, FPS: 120.9, mean reward: 0.3, min/max reward: -52.7/61.1
Iteration: 225, total timesteps: 90600, total time: 749.3, FPS: 120.9, mean reward: -2.2, min/max reward: -52.7/61.1
Iteration: 226, total timesteps: 91000, total time: 753.3, FPS: 120.8, mean reward: -1.2, min/max reward: -52.7/62.5
Iteration: 227, total timesteps: 91400, total time: 757.2, FPS: 120.7, mean reward: 0.4, min/max reward: -52.7/62.5
Iteration: 228, total timesteps: 91800, total time: 761.0, FPS: 120.6, mean reward: 0.6, min/max reward: -52.7/62.5
Iteration: 229, total timesteps: 92200, total time: 764.8, FPS: 120.6, mean reward: 0.4, min/max reward: -52.7/62.5
Iteration: 230, total timesteps: 92600, total time: 766.4, FPS: 120.8, mean reward: 0.4, min/max reward: -52.7/62.5
Iteration: 231, total timesteps: 93000, total time: 769.6, FPS: 120.8, mean reward: 3.5, min/max reward: -52.7/62.5
Iteration: 232, total timesteps: 93400, total time: 772.8, FPS: 120.9, mean reward: 3.7, min/max reward: -52.7/62.5
Iteration: 233, total timesteps: 93800, total time: 776.0, FPS: 120.9, mean reward: 5.1, min/max reward: -45.7/62.5
